pixel_index,color,log_p_z,log_p_z_ref,joint_score,joint_score_ref
254,0.0,-3.9140403766113065,1.0,[0. 0. 0.],[0. 0. 0.]
256,0.23990915359140202,-2.0886131092557796,-2.0886131092557796,[0. 0. 0.],[0. 0. 0.]
257,0.0,-1.7495717482801594,1.0,[0. 0. 0.],[0. 0. 0.]
258,0.0,-1.7733793059289282,1.0,[0. 0. 0.],[0. 0. 0.]
103,0.0,-2.4767062512657487,1.0,[-9.37273662e-10 -3.71401887e-09 -3.73828288e-09],[-9.37273662e-10 -3.71401887e-09 -3.73828288e-09]
260,0.006444416140269419,-3.682090137093491,-3.682090137093491,[0. 0. 0.],[0. 0. 0.]
262,0.21777585764851642,-2.2073033607104118,-2.2073033607104118,[0. 0. 0.],[0. 0. 0.]
264,0.2401068781717227,-2.1448536260001347,-2.1448536260001347,[0. 0. 0.],[0. 0. 0.]
266,0.2244807865768523,-2.214195040595625,-2.214195040595625,[0. 0. 0.],[0. 0. 0.]
267,0.0,-1.8765470757652651,1.0,[0. 0. 0.],[0. 0. 0.]
269,0.0,-1.9668798784548944,1.0,[0. 0. 0.],[0. 0. 0.]
273,0.05156636765057946,-4.342617582443932,-4.342617582443932,[0. 0. 0.],[0. 0. 0.]
889,0.0,-2.8314487492944793,1.0,[ 3.30050084e-01 -8.74249383e-10 -3.73677384e-09],[ 3.30050084e-01 -8.74249383e-10 -3.73677384e-09]
891,0.0,-4.767653379253752,1.0,[-2.89633062e-03 -2.43405086e-09 -3.73719493e-09],[-2.89633062e-03 -2.43405086e-09 -3.73719493e-09]
280,0.0,-2.118203892163121,1.0,[0. 0. 0.],[0. 0. 0.]
281,0.21721667916680956,-1.8307597419542252,-1.8307597419542252,[0. 0. 0.],[0. 0. 0.]
284,0.0,-3.8493590609044577,1.0,[0. 0. 0.],[0. 0. 0.]
289,0.0,-4.3519771383462125,1.0,[0. 0. 0.],[0. 0. 0.]
292,0.17075415832796814,-1.7393963116625641,-1.7393963116625641,[0. 0. 0.],[0. 0. 0.]
293,0.0,-2.0507757622377984,1.0,[0. 0. 0.],[0. 0. 0.]
998,0.0,-2.685967724768326,1.0,[ 4.49234986e-01 -3.65562490e-09 -3.54854215e-09],[ 4.49234986e-01 -3.65562490e-09 -3.54854215e-09]
299,0.22812308985493773,-1.7676612129344083,-1.7676612129344083,[0. 0. 0.],[0. 0. 0.]
303,0.0,-1.7908048708590452,1.0,[0. 0. 0.],[0. 0. 0.]
304,0.0,-1.8820703285261924,1.0,[0. 0. 0.],[0. 0. 0.]
307,0.2487399543394195,-2.0649590137915896,-2.0649590137915896,[0. 0. 0.],[0. 0. 0.]
308,0.2815236249170373,-1.8029395880322854,-1.8029395880322854,[0. 0. 0.],[0. 0. 0.]
309,0.2540218712104812,-2.0674299883838474,-2.0674299883838474,[0. 0. 0.],[0. 0. 0.]
312,0.0,-4.173675187215613,1.0,[0. 0. 0.],[0. 0. 0.]
317,0.0,-4.979911145954379,1.0,[0. 0. 0.],[0. 0. 0.]
318,0.0,-4.060088115349453,1.0,[0. 0. 0.],[0. 0. 0.]
225,0.0650154276076785,-5.332659613634582,-7.163149041578823,[-3.74795046e-09 -3.00989983e-09 -3.55235994e-09],[-3.74795046e-09 -3.00989983e-09 -3.55235994e-09]
321,0.025904395515208574,-5.394268124171592,-5.394268124171592,[0. 0. 0.],[0. 0. 0.]
